Altium Designer Pick and Place Locations
C:\Projects\ARG\EPRI\LIT\EE\Project Outputs for EPRI_LIT\Pick Place for EPRI_LIT.txt

========================================================================================================================
File Design Information:

Date:       20/02/19
Time:       10:16
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment           Layer    Footprint                     Center-X(mil) Center-Y(mil) Rotation Description                                                                                                           
R18        200               TopLayer R1005                         265.000       1588.000      0        Resistor                                                                                                              
D10        SDM10K45          TopLayer SOD323                        147.000       1589.000      360      "SCHOTTKY DIODE"                                                                                                      
C47        220m              TopLayer CAP-FC-FCS                    589.777       1543.364      180      ""                                                                                                                    
J6         DBG               TopLayer SULLINS-NRPN061PAEN-RC        3349.614      1195.850      90       ""                                                                                                                    
F1         350mA             TopLayer FUSE-0402                     1038.000      1036.000      0        FUSE                                                                                                                  
Y1         32.768K           TopLayer XTL-AB26TRQ                   2338.569      1236.000      180      ""                                                                                                                    
C12        100n              TopLayer C1005                         1399.000      1475.431      90       ""                                                                                                                    
C27        100n              TopLayer C1005                         1857.431      1158.000      180      Capacitor                                                                                                             
C28        100n              TopLayer C1005                         1605.000      1429.431      180      Capacitor                                                                                                             
C29        100n              TopLayer C1005                         1898.000      1780.431      90       Capacitor                                                                                                             
C30        12p               TopLayer C1608                         2255.569      1150.000      360      Capacitor                                                                                                             
C32        12p               TopLayer C1608                         2258.569      1315.000      360      Capacitor                                                                                                             
C45        10u               TopLayer C1608                         2263.000      1448.431      180      Capacitor                                                                                                             
C46        100n              TopLayer C1005                         1553.000      1556.431      90       Capacitor                                                                                                             
L4         BLM15P            TopLayer L0402                         1611.000      1576.431      360      INDUCTOR                                                                                                              
L5         BLM15P            TopLayer L0402                         1611.000      1538.741      360      INDUCTOR                                                                                                              
U6         LMT70             TopLayer 4-WFBGA                       1460.000      1488.431      0        ""                                                                                                                    
U14        PIC24FJ256GB406   TopLayer TQFP-PT64_M                   1927.000      1459.431      270      "High Speed General Purpose 16-Bit Flash Microcontroller, 256KB Flash, 16KB RAM, 64-Pin TQFP, Industrial Temperature" 
U15        MCP130-           TopLayer SOT-23                        1992.000      1815.431      0        "Microcontroller Supervisor - with active low reset(5K pull up)"                                                      
C10        1u                TopLayer C1608                         3244.853      2348.768      270      Capacitor                                                                                                             
R1         4K7               TopLayer R1005                         3301.853      2359.768      90       Resistor                                                                                                              
